"","provincia","accidentes_victimas","accidentes_mortales","fallecidos","heridos_hospitalizados","heridos_no_hospitalizados","tipo_via","año"
"290","Murcia",490,40,51,95,703,"Vias interurbanas",2017
"291","Navarra",278,14,17,64,360,"Vias interurbanas",2017
"292","Ourense",230,9,9,47,277,"Vias interurbanas",2017
"293","Asturias",1032,28,29,146,1402,"Vias interurbanas",2017
"294","Palencia",144,10,13,26,189,"Vias interurbanas",2017
"295","Palmas (Las)",783,23,24,85,1211,"Vias interurbanas",2017
"296","Pontevedra",1243,20,21,136,1860,"Vias interurbanas",2017
"297","Salamanca",247,13,13,32,306,"Vias interurbanas",2017
"298","Santa Cruz de Tenerife",1110,22,25,176,1567,"Vias interurbanas",2017
"299","Cantabria",593,12,14,56,810,"Vias interurbanas",2017
"300","Segovia",205,9,9,26,253,"Vias interurbanas",2017
"301","Sevilla",1095,32,36,166,1639,"Vias interurbanas",2017
"302","Soria",83,8,9,16,90,"Vias interurbanas",2017
"303","Tarragona",1136,28,35,119,1503,"Vias interurbanas",2017
"304","Teruel",186,14,14,59,203,"Vias interurbanas",2017
"305","Toledo",639,40,48,91,951,"Vias interurbanas",2017
"306","Valencia/València",1668,43,50,203,2387,"Vias interurbanas",2017
"307","Valladolid",362,16,18,73,472,"Vias interurbanas",2017
"308","Bizkaia",961,6,6,88,1313,"Vias interurbanas",2017
"309","Zamora",144,16,23,45,168,"Vias interurbanas",2017
"310","Zaragoza",717,26,27,84,990,"Vias interurbanas",2017
"311","Ceuta",43,1,1,2,63,"Vias interurbanas",2017
"312","Melilla",0,0,0,0,0,"Vias interurbanas",2017
"313","Araba/Álava",713,3,3,21,814,"Vias urbanas",2016
"314","Albacete",519,3,3,45,611,"Vias urbanas",2016
"315","Alicante/Alacant",1762,22,22,172,2036,"Vias urbanas",2016
"316","Almería",181,9,10,24,206,"Vias urbanas",2016
"317","Ávila",186,0,0,15,226,"Vias urbanas",2016
"318","Badajoz",541,9,9,55,661,"Vias urbanas",2016
"319","Balears (Illes)",2438,10,10,139,2893,"Vias urbanas",2016
"320","Barcelona",15425,73,74,651,18731,"Vias urbanas",2016
"321","Burgos",512,8,8,43,616,"Vias urbanas",2016
"322","Cáceres",148,5,5,14,176,"Vias urbanas",2016
"323","Cádiz",2153,17,18,132,2949,"Vias urbanas",2016
"324","Castellón/Castelló",340,10,10,47,370,"Vias urbanas",2016
"325","Ciudad Real",374,3,3,24,481,"Vias urbanas",2016
